<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE,D,20110610,000000,22.681,23.115,22.633,23.115,1175,0
ABE,D,20110613,000000,22.964,23.059,22.586,22.823,21842,0
ABE,D,20110614,000000,23.152,23.152,22.738,22.738,4720,0
ABE,D,20110615,000000,22.738,22.738,22.492,22.738,353,0
ABE,D,20110616,000000,21.867,22.208,21.84,22.018,1901,0
ABE,D,20110617,000000,22.492,22.586,22.208,22.492,41206,0
ABE,D,20110620,000000,21.802,22.53,21.802,22.53,2277,0
ABE,D,20110621,000000,22.113,22.53,22.018,22.53,4406,0
ABE,D,20110622,000000,22.048,22.294,22.048,22.294,328,0
ABE,D,20110624,000000,22.018,22.255,22.018,22.255,1127,0
ABE,D,20110627,000000,21.83,22.255,21.83,22.255,8535,0
ABE,D,20110628,000000,21.83,22.255,21.282,22.255,20988,0
ABE,D,20110629,000000,21.366,22.255,21.366,22.198,859,0
ABE,D,20110630,000000,21.443,22.302,21.443,22.302,3449,0
ABE,D,20110701,000000,21.792,22.396,21.782,22.396,1014,0
ABE,D,20110704,000000,21.943,22.444,21.943,22.444,1645,0
ABE,D,20110705,000000,22.482,22.492,22.208,22.492,12423,0
ABE,D,20110706,000000,22.482,22.492,22.236,22.264,1259,0
ABE,D,20110707,000000,22.378,22.492,22.208,22.492,4115,0
ABE,D,20110708,000000,22.227,22.492,22.227,22.255,21825,0
ABE,D,20110711,000000,22.255,22.255,22.113,22.113,1554,0
ABE,D,20110712,000000,22.113,22.113,21.348,22.018,4528,0
ABE,D,20110713,000000,21.358,21.735,21.358,21.452,91102,0
ABE,D,20110714,000000,21.358,21.509,21.358,21.499,160222,0
ABE,D,20110715,000000,21.358,21.499,21.358,21.499,22327,0
ABE,D,20110718,000000,21.348,21.348,21.168,21.177,1206,0
ABE,D,20110719,000000,20.838,20.884,20.46,20.884,5346,0
ABE,D,20110720,000000,21.263,21.546,20.696,21.537,378658,0
ABE,D,20110721,000000,21.177,21.263,21.177,21.263,6131,0
ABE,D,20110722,000000,21.311,21.537,21.311,21.537,320,0
ABE,D,20110725,000000,20.914,21.735,20.914,21.735,1221,0
ABE,D,20110726,000000,21.735,22.066,21.291,22.066,2210,0
ABE,D,20110727,000000,22.018,22.018,22.009,22.018,117,0
ABE,D,20110728,000000,21.272,22,21.263,22,421,0
ABE,D,20110729,000000,21.981,22.018,21.358,22.018,1874,0
ABE,D,20110801,000000,21.48,22.018,21.48,22.018,490,0
ABE,D,20110802,000000,22.009,22.009,22.009,22.009,42,0
ABE,D,20110803,000000,21.452,21.452,19.845,20.78,8828,0
ABE,D,20110804,000000,20.043,20.78,18.9,20.318,29444,0
ABE,D,20110805,000000,18.342,20.176,18.333,20.176,22038,0
ABE,D,20110808,000000,18.561,19.656,18.561,19.656,23715,0
ABE,D,20110809,000000,19.183,19.363,18.371,19.363,254877,0
ABE,D,20110810,000000,18.824,20.601,18.824,20.601,79858,0
ABE,D,20110811,000000,18.929,20.601,18.929,20.601,101767,0
ABE,D,20110812,000000,20.299,20.979,20.299,20.96,9859,0
ABE,D,20110816,000000,20.79,20.931,20.79,20.79,517,0
ABE,D,20110817,000000,20.79,20.79,20.582,20.582,92,0
ABE,D,20110818,000000,20.318,20.318,19.392,20.176,114373,0
ABE,D,20110819,000000,19.278,20.072,18.975,19.996,62578,0
ABE,D,20110822,000000,19.458,20.487,19.458,20.487,5508,0
ABE,D,20110823,000000,20.487,20.884,20.138,20.487,3601,0
ABE,D,20110824,000000,19.873,20.601,19.845,20.261,128550,0
ABE,D,20110825,000000,20.601,20.601,20.082,20.365,615,0
ABE,D,20110826,000000,20.034,20.289,20.034,20.242,10642,0
ABE,D,20110829,000000,20.251,20.251,19.78,20.242,8681,0
ABE,D,20110830,000000,20.224,20.224,20.204,20.204,5417,0
ABE,D,20110831,000000,20.214,20.224,19.845,20.224,124300,0
ABE,D,20110901,000000,20.696,20.696,19.845,20.214,40077,0
ABE,D,20110902,000000,19.807,20.224,19.373,19.845,22351,0
ABE,D,20110905,000000,19.656,19.931,18.957,19.826,7161,0
ABE,D,20110906,000000,19.193,19.826,19.183,19.278,401,0
ABE,D,20110907,000000,19.326,19.665,19.042,19.665,2805,0
ABE,D,20110908,000000,19.099,19.665,19.099,19.647,14065,0
ABE,D,20110909,000000,19.117,19.732,18.957,19.732,27322,0
ABE,D,20110912,000000,18.957,19.543,18.863,19.543,47618,0
ABE,D,20110913,000000,18.919,19.599,18.91,19.458,2228,0
ABE,D,20110914,000000,19.09,19.402,19.09,19.402,85128,0
ABE,D,20110915,000000,19.193,19.363,19.09,19.363,12093,0
ABE,D,20110916,000000,19.09,19.156,19.09,19.099,354119,0
ABE,D,20110919,000000,18.9,19.099,17.861,17.936,11151,0
ABE,D,20110920,000000,17.964,18.814,17.303,18.125,368081,0
ABE,D,20110921,000000,18.608,18.608,17.956,18.097,3379,0
ABE,D,20110922,000000,17.681,18.9,17.397,18.9,4275,0
ABE,D,20110923,000000,18.806,18.891,17.881,18.872,3338,0
ABE,D,20110926,000000,18.759,18.806,18.276,18.806,4023,0
ABE,D,20110927,000000,18.664,18.664,18.144,18.144,2102,0
ABE,D,20110928,000000,18.806,18.806,17.956,18.427,21436,0
ABE,D,20110929,000000,18.427,18.427,18.107,18.427,24404,0
ABE,D,20110930,000000,18.806,18.806,18.333,18.664,43931,0
ABE,D,20111003,000000,17.956,18.409,17.956,18.362,24039,0
ABE,D,20111004,000000,17.956,18.191,17.625,18.191,56321,0
ABE,D,20111005,000000,17.861,17.956,17.596,17.956,4157,0
ABE,D,20111006,000000,17.861,18.418,17.577,18.418,3182,0
ABE,D,20111007,000000,17.776,17.956,17.766,17.861,25916,0
ABE,D,20111010,000000,17.672,17.832,17.492,17.747,2657,0
ABE,D,20111011,000000,17.549,17.549,16.632,16.84,40630,0
ABE,D,20111012,000000,16.84,16.953,16.699,16.699,3068,0
ABE,D,20111013,000000,16.727,16.727,16.122,16.538,75123,0
ABE,D,20111014,000000,16.255,16.349,16.179,16.349,74054,0
ABE,D,20111017,000000,16.538,16.784,16.349,16.538,16289,0
ABE,D,20111018,000000,16.518,16.727,16.518,16.727,42041,0
ABE,D,20111019,000000,17.105,17.379,16.661,17.198,69681,0
ABE,D,20111020,000000,16.83,17.171,16.594,16.604,674,0
ABE,D,20111021,000000,16.991,17.436,16.481,17.436,2207,0
ABE,D,20111024,000000,17.02,17.635,17.02,17.635,2486,0
ABE,D,20111025,000000,17.303,17.635,17.303,17.322,369,0
ABE,D,20111026,000000,17.293,17.483,17.01,17.039,1594,0
ABE,D,20111027,000000,17.625,17.881,17.03,17.861,2007,0
ABE,D,20111028,000000,17.861,17.861,17.492,17.861,789,0
ABE,D,20111031,000000,17.956,18.069,17.53,18.069,421,0
ABE,D,20111102,000000,17.766,17.766,17.303,17.483,2563,0
ABE,D,20111103,000000,17.01,17.577,17.01,17.577,1044,0
ABE,D,20111104,000000,17.766,17.766,17.483,17.483,3518,0
ABE,D,20111107,000000,17.114,17.918,17.114,17.492,69507,0
ABE,D,20111108,000000,17.483,18.258,17.483,18.258,5543,0
ABE,D,20111109,000000,17.776,17.956,17.776,17.956,328,0
ABE,D,20111110,000000,17.766,18.258,17.586,18.144,1050,0
ABE,D,20111114,000000,18.049,18.144,18.049,18.144,238,0
ABE,D,20111115,000000,18.617,18.617,18.21,18.617,2238,0
ABE,D,20111116,000000,18.286,18.427,18.286,18.324,53236,0
ABE,D,20111117,000000,18.352,18.418,18.333,18.418,748,0
ABE,D,20111118,000000,18.333,18.333,18.134,18.134,1370,0
ABE,D,20111121,000000,17.956,18.21,17.956,18.201,1186,0
ABE,D,20111122,000000,18.097,18.097,17.861,18.097,17608,0
ABE,D,20111123,000000,17.558,17.558,17.483,17.483,10415,0
ABE,D,20111124,000000,16.925,17.01,16.632,17.01,11449,0
ABE,D,20111125,000000,17,17,16.727,16.727,486,0
ABE,D,20111128,000000,16.915,17.198,16.915,17.198,755,0
ABE,D,20111129,000000,17.105,17.881,17.105,17.881,1562,0
ABE,D,20111130,000000,17.918,18.863,17.918,18.863,2250,0
ABE,D,20111201,000000,18.427,20.034,17.105,17.7,23869,0
ABE,D,20111202,000000,17.813,17.813,17.813,17.813,85,0
ABE,D,20111205,000000,18.39,18.39,18.39,18.39,127,0
ABE,D,20111206,000000,18.003,18.371,17.956,18.371,2342,0
ABE,D,20111207,000000,18.503,18.617,18.503,18.598,945,0
ABE,D,20111208,000000,18.617,19.402,18.087,18.73,2259,0
ABE,D,20111209,000000,19.363,19.363,18.258,18.267,3314,0
ABE,D,20111212,000000,18.286,18.475,18.286,18.475,1006,0
ABE,D,20111213,000000,18.38,18.891,18.38,18.664,26809,0
ABE,D,20111214,000000,18.854,18.854,18.854,18.854,20,0
ABE,D,20111215,000000,18.522,19.117,18.427,19.117,844,0
ABE,D,20111216,000000,19.09,19.117,18.626,18.739,1727,0
ABE,D,20111219,000000,18.72,18.72,18.427,18.427,2257,0
ABE,D,20111220,000000,17.956,18.22,17.956,18.22,4391,0
ABE,D,20111221,000000,17.605,18.418,17.605,18.418,651,0
ABE,D,20111222,000000,18.333,18.777,18.333,18.712,238,0
ABE,D,20111223,000000,18.712,18.712,18.239,18.702,162,0
ABE,D,20111227,000000,18.333,18.333,18.049,18.049,1604,0
ABE,D,20111228,000000,18.049,18.049,18.049,18.049,121,0
ABE,D,20111229,000000,18.059,18.059,18.059,18.059,710,0
ABE,D,20111230,000000,18.049,18.049,18.049,18.049,18,0
ABE,D,20120102,000000,18.049,18.493,18.003,18.493,1131,0
ABE,D,20120103,000000,17.974,18.9,17.974,18.9,1010,0
ABE,D,20120104,000000,18.806,18.806,18.806,18.806,1067,0
ABE,D,20120105,000000,18.806,18.806,18.712,18.806,16739,0
ABE,D,20120109,000000,18.806,18.9,18.806,18.9,212,0
ABE,D,20120110,000000,18.9,18.9,18.9,18.9,1118,0
ABE,D,20120111,000000,18.9,18.9,18.9,18.9,2792,0
ABE,D,20120112,000000,19.258,19.258,19.258,19.258,136,0
ABE,D,20120113,000000,18.9,19.231,18.9,18.9,2464,0
ABE,D,20120116,000000,18.9,19.278,18.9,19.278,15398,0
ABE,D,20120117,000000,19.316,19.316,19.316,19.316,582,0
