<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIF,D,20201016,000000,15.42,17.65,15.42,16.88,9219,0
GIF,D,20201019,000000,17.51,19,16,18.2,14682,0
GIF,D,20201020,000000,18.4,18.99,16.998,17.99,5621,0
GIF,D,20201021,000000,18.85,20,18.018,18.4,9770,0
GIF,D,20201022,000000,18.4,18.878,16.61,18,4023,0
GIF,D,20201023,000000,18,18,16.63,17.3,3835,0
GIF,D,20201026,000000,17.95,17.95,16.2,16.9,5870,0
GIF,D,20201027,000000,16.5,17.788,15.9,16,6173,0
GIF,D,20201028,000000,15.9,15.98,14,15,17886,0
GIF,D,20201029,000000,14.22,14.978,13.51,13.904,9744,0
GIF,D,20201030,000000,13.7,14.38,13.06,14.38,5453,0
GIF,D,20201102,000000,14.85,14.85,13.498,13.898,4430,0
GIF,D,20201103,000000,14.2,14.298,13.5,13.988,5500,0
GIF,D,20201104,000000,13.988,14.82,13.986,14.4,4333,0
GIF,D,20201105,000000,14.82,15.36,14.5,15.27,2900,0
GIF,D,20201106,000000,15.9,15.9,14.5,15.23,4672,0
GIF,D,20201109,000000,15.77,15.798,14.3,15,6067,0
GIF,D,20201110,000000,14.498,14.848,14.31,14.5,8980,0
GIF,D,20201112,000000,14.5,16.9,14.4,16.9,11455,0
GIF,D,20201113,000000,17.7,17.7,15.67,16.428,5760,0
GIF,D,20201116,000000,16.432,16.5,15.05,15.05,4600,0
GIF,D,20201117,000000,15.05,15.918,15.05,15.08,3515,0
GIF,D,20201118,000000,15.1,15.9,15.07,15.9,1788,0
GIF,D,20201119,000000,16.1,16.5,15.31,15.99,2955,0
GIF,D,20201120,000000,16,16.278,15.07,16,1391,0
GIF,D,20201123,000000,16.4,16.4,15.1,15.9,2953,0
GIF,D,20201124,000000,15.9,16.35,15.346,15.412,6457,0
GIF,D,20201125,000000,16,16.02,15.202,15.202,2340,0
GIF,D,20201126,000000,15.996,15.996,15.25,15.25,2434,0
GIF,D,20201127,000000,15.438,15.552,15.1,15.104,2132,0
GIF,D,20201130,000000,15.2,15.2,15,15.148,2363,0
GIF,D,20201201,000000,14.52,15.2,14.52,15,3209,0
GIF,D,20201202,000000,15.15,15.2,14.792,15.1,9027,0
GIF,D,20201203,000000,15.2,15.2,14.9,15.196,1337,0
GIF,D,20201204,000000,15.196,15.196,13.9,14.69,22963,0
GIF,D,20201207,000000,14.94,14.96,14.5,14.8,6094,0
GIF,D,20201208,000000,14.99,14.99,14.65,14.652,2727,0
GIF,D,20201209,000000,14.8,16,14.652,16,14159,0
GIF,D,20201210,000000,16,16,14.7,15,6159,0
GIF,D,20201211,000000,15.2,15.2,14.51,15,2057,0
GIF,D,20201214,000000,15,15,14.2,14.35,6339,0
GIF,D,20201215,000000,14.1,14.488,14,14.35,4699,0
GIF,D,20201216,000000,14.2,14.6,14.01,14.202,8397,0
GIF,D,20201217,000000,14.3,14.41,14,14.156,2721,0
GIF,D,20201218,000000,14.3,14.3,13,13.99,6592,0
GIF,D,20201221,000000,13.98,13.98,13.1,13.5,7014,0
GIF,D,20201222,000000,13.98,13.98,13.32,13.49,9885,0
GIF,D,20201223,000000,13.49,13.8,13.13,13.798,12722,0
GIF,D,20201228,000000,13.7,13.7,12.81,12.942,29983,0
GIF,D,20201229,000000,13,13.5,13,13.5,9480,0
GIF,D,20201230,000000,13.5,13.99,13.498,13.56,5234,0
GIF,D,20210104,000000,13.7,17.5,13.7,17.5,26924,0
GIF,D,20210105,000000,18.15,22,18.15,20,51712,0
GIF,D,20210107,000000,20,21.9,18.51,20.1,26566,0
GIF,D,20210108,000000,21,21,18.61,19.29,11170,0
GIF,D,20210111,000000,19.8,20.845,18.75,20,20874,0
GIF,D,20210112,000000,21.2,21.2,18.8,19.7,6550,0
GIF,D,20210113,000000,19.9,20,18.502,19.13,15298,0
GIF,D,20210114,000000,19,19.39,17.2,18,40522,0
GIF,D,20210115,000000,18,18.396,17.9,17.9,5894,0
GIF,D,20210118,000000,17.55,18.7,17.55,18,6471,0
GIF,D,20210119,000000,17.8,18.398,17.8,17.95,3392,0
GIF,D,20210120,000000,17.882,18.2,17.75,17.802,4642,0
GIF,D,20210121,000000,17.76,17.99,16.4,17.29,7932,0
GIF,D,20210122,000000,17.396,17.396,16.51,16.65,5507,0
GIF,D,20210125,000000,16.65,17.25,16.4,16.4,6826,0
GIF,D,20210126,000000,16.4,16.682,16,16.6,8550,0
GIF,D,20210127,000000,17,18.5,17,17.49,23723,0
GIF,D,20210128,000000,17.55,17.9,16.6,17.3,9845,0
GIF,D,20210129,000000,17.3,17.478,16.804,16.81,5181,0
GIF,D,20210201,000000,16.76,17.146,16.5,16.606,3461,0
GIF,D,20210202,000000,16.8,16.8,16.5,16.7,5364,0
GIF,D,20210203,000000,16.6,17.888,16.5,16.5,12124,0
GIF,D,20210204,000000,16.8,16.888,16.602,16.7,2952,0
GIF,D,20210205,000000,16.8,17.5,16.61,16.794,3689,0
