<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOA,D,20190430,000000,5.7313,5.7313,5.7313,5.7313,2,0
TOA,D,20190502,000000,5.7313,5.7313,5.7313,5.7313,2,0
TOA,D,20190506,000000,5.7313,5.7313,5.1982,5.5981,488,0
TOA,D,20190507,000000,5.5092,5.6425,5.4203,5.6425,342,0
TOA,D,20190508,000000,5.6869,5.6869,5.287,5.3315,1354,0
TOA,D,20190509,000000,5.4203,5.4648,5.4203,5.4648,1630,0
TOA,D,20190510,000000,5.4648,5.4648,5.4648,5.4648,5,0
TOA,D,20190513,000000,5.5092,5.5092,5.3315,5.3315,586,0
TOA,D,20190514,000000,5.287,5.287,4.7539,4.7539,21667,0
TOA,D,20190515,000000,4.7539,4.8428,4.665,4.665,5499,0
TOA,D,20190516,000000,4.665,4.7983,4.5318,4.5318,8796,0
TOA,D,20190517,000000,4.6206,4.976,4.6206,4.976,5430,0
TOA,D,20190520,000000,4.665,4.8428,4.665,4.7983,5241,0
TOA,D,20190521,000000,4.7983,4.976,4.7983,4.7983,284,0
TOA,D,20190522,000000,4.5318,4.976,4.5318,4.976,1101,0
TOA,D,20190523,000000,4.8872,4.8872,4.665,4.7095,5530,0
TOA,D,20190524,000000,4.976,4.976,4.976,4.976,24,0
TOA,D,20190527,000000,4.976,4.976,4.7095,4.7095,57577,0
TOA,D,20190528,000000,4.9316,4.9316,4.8872,4.8872,5,0
TOA,D,20190529,000000,4.976,4.976,4.6206,4.976,1011,0
TOA,D,20190530,000000,4.9316,4.9316,4.9316,4.9316,6,0
TOA,D,20190531,000000,4.976,4.976,4.665,4.665,1186,0
TOA,D,20190603,000000,4.665,4.7539,4.665,4.7539,634,0
TOA,D,20190604,000000,4.665,4.665,4.665,4.665,1425,0
TOA,D,20190605,000000,4.7095,4.7095,4.665,4.665,795,0
TOA,D,20190606,000000,4.665,4.8872,4.6206,4.8872,981,0
TOA,D,20190610,000000,4.7095,4.7095,4.7095,4.7095,114,0
TOA,D,20190611,000000,4.7095,4.7539,4.7095,4.7539,5,0
TOA,D,20190612,000000,4.7539,4.7539,4.7539,4.7539,315,0
TOA,D,20190613,000000,4.8872,4.8872,4.6206,4.6206,366,0
TOA,D,20190614,000000,4.6206,4.7983,4.5762,4.6206,36266,0
TOA,D,20190617,000000,4.7983,4.976,4.3185,4.5762,26595,0
TOA,D,20190618,000000,4.5762,4.7095,4.5318,4.7095,1486,0
TOA,D,20190619,000000,4.4873,4.665,4.4873,4.665,1404,0
TOA,D,20190621,000000,4.665,4.7095,4.4873,4.665,4877,0
TOA,D,20190624,000000,4.665,4.665,4.5762,4.665,429,0
TOA,D,20190625,000000,4.665,4.665,4.4429,4.4873,15510,0
TOA,D,20190626,000000,4.4429,4.5762,4.4074,4.4429,9829,0
TOA,D,20190627,000000,4.6206,4.7539,4.5762,4.6206,9241,0
TOA,D,20190628,000000,4.665,4.665,4.6206,4.6206,832,0
TOA,D,20190701,000000,4.7095,4.7095,4.4074,4.5318,9971,0
TOA,D,20190703,000000,4.5762,4.5762,4.5318,4.5762,704,0
TOA,D,20190704,000000,4.5318,4.5318,4.4429,4.5318,3228,0
TOA,D,20190705,000000,4.4429,4.5318,4.354,4.5318,5514,0
TOA,D,20190708,000000,4.5318,4.5318,4.4873,4.4873,1520,0
TOA,D,20190709,000000,4.4873,4.5318,4.4429,4.4873,2974,0
TOA,D,20190710,000000,4.4873,4.4873,4.4429,4.4873,824,0
TOA,D,20190711,000000,4.4873,4.4873,4.4074,4.4074,441,0
TOA,D,20190712,000000,4.4251,4.4873,4.4251,4.4873,351,0
TOA,D,20190715,000000,4.4873,4.4873,4.4873,4.4873,6,0
TOA,D,20190716,000000,4.4873,4.4873,4.4074,4.4074,263,0
TOA,D,20190717,000000,4.3896,4.3896,4.3718,4.3718,1394,0
TOA,D,20190718,000000,4.3718,4.4251,4.3718,4.3718,774,0
TOA,D,20190719,000000,4.3896,4.4429,4.3896,4.4251,988,0
TOA,D,20190722,000000,4.4429,4.5318,4.354,4.4429,75658,0
TOA,D,20190723,000000,4.5318,4.8428,4.4429,4.7539,202701,0
TOA,D,20190724,000000,4.8872,4.8872,4.6206,4.6206,46835,0
TOA,D,20190725,000000,4.665,4.665,4.4429,4.6206,45756,0
TOA,D,20190726,000000,4.665,4.665,4.5318,4.5762,6789,0
TOA,D,20190729,000000,4.5762,4.5762,4.4429,4.4429,12238,0
TOA,D,20190730,000000,4.4251,4.4429,4.3896,4.4429,14642,0
TOA,D,20190731,000000,4.4429,4.4429,4.4074,4.4074,4755,0
TOA,D,20190801,000000,4.4429,4.4429,4.3718,4.4429,4497,0
