<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIFA,D,20200925,000000,17.5,17.5,17,17.3,3831,0
GIFA,D,20200928,000000,17.3,17.444,16.502,17.1,6975,0
GIFA,D,20200929,000000,17.4,17.85,17.098,17.85,6409,0
GIFA,D,20200930,000000,17.9,18.5,17.142,17.75,4510,0
GIFA,D,20201001,000000,17.42,18.458,17.42,17.9,4448,0
GIFA,D,20201002,000000,17.43,17.5,16.11,17.14,10413,0
GIFA,D,20201005,000000,17.55,17.878,16.8,17.3,2144,0
GIFA,D,20201006,000000,17.3,17.346,16.798,17.3,2315,0
GIFA,D,20201007,000000,17.2,17.2,16.804,16.9,3045,0
GIFA,D,20201008,000000,16.9,16.9,16.298,16.67,6859,0
GIFA,D,20201009,000000,16.77,16.77,15.11,16.3,18939,0
GIFA,D,20201012,000000,16.5,16.5,15.21,15.75,7937,0
GIFA,D,20201013,000000,15.75,15.75,14.176,15.37,27291,0
GIFA,D,20201014,000000,14.902,15.37,14.202,14.4,18826,0
GIFA,D,20201015,000000,14.4,15.5,14.202,15,10654,0
GIFA,D,20201016,000000,14.2,16.4,14.2,15.91,10269,0
GIFA,D,20201019,000000,16.39,17.49,15.602,16.8,9903,0
GIFA,D,20201020,000000,17.01,17.98,16.5,16.7,5685,0
GIFA,D,20201021,000000,16.8,17.89,16.798,17.2,3199,0
GIFA,D,20201022,000000,17.498,17.498,16.5,16.5,4025,0
GIFA,D,20201023,000000,16.99,16.99,16,16.1,2221,0
GIFA,D,20201026,000000,16.1,16.5,15.8,15.8,2018,0
GIFA,D,20201027,000000,16.198,16.198,15,16,2006,0
GIFA,D,20201028,000000,16,16.79,13.6,14.1,11683,0
GIFA,D,20201029,000000,14.498,14.896,13.75,14.1,4759,0
GIFA,D,20201030,000000,14.798,14.798,12.972,13.5,5537,0
GIFA,D,20201102,000000,13.5,14.474,13.5,13.5,2183,0
GIFA,D,20201103,000000,13.52,14.178,13.52,13.752,2217,0
GIFA,D,20201104,000000,14,14.33,13.764,14.2,2840,0
GIFA,D,20201105,000000,14.348,14.348,12.94,14.3,7798,0
GIFA,D,20201106,000000,14,14.39,13.5,14.298,4609,0
GIFA,D,20201109,000000,14.3,14.3,13.532,14.28,1467,0
GIFA,D,20201110,000000,13.61,14.448,13.604,14.42,3757,0
GIFA,D,20201112,000000,14.5,15.844,14.492,15.7,7279,0
GIFA,D,20201113,000000,15.236,15.698,15,15.574,1024,0
GIFA,D,20201116,000000,15,15.588,14.79,14.832,1495,0
GIFA,D,20201117,000000,14.9,14.9,14.1,14.798,3354,0
GIFA,D,20201118,000000,14.9,15.276,13.51,15.268,2966,0
GIFA,D,20201119,000000,15.58,15.58,14.1,14.998,545,0
GIFA,D,20201120,000000,14.998,15.498,14.2,15.498,2267,0
GIFA,D,20201123,000000,15.48,15.48,14.8,15.3,3463,0
GIFA,D,20201124,000000,15.38,15.6,14.51,15.3,5816,0
GIFA,D,20201125,000000,15.75,15.75,14.75,14.85,2307,0
GIFA,D,20201126,000000,14.85,15.496,14.4,14.9,6132,0
GIFA,D,20201127,000000,14.896,14.898,14.1,14.5,3284,0
GIFA,D,20201130,000000,14.67,14.67,13.91,14.488,3037,0
GIFA,D,20201201,000000,13.53,14.488,13.53,14,7506,0
GIFA,D,20201202,000000,14.352,14.352,13.61,14,6314,0
GIFA,D,20201203,000000,13.95,13.998,13.702,13.9,2471,0
GIFA,D,20201204,000000,13.7,14.2,13.7,14,6761,0
GIFA,D,20201207,000000,14.1,14.2,12.75,13.75,45901,0
GIFA,D,20201208,000000,13.78,14.2,13.31,14.2,15382,0
GIFA,D,20201209,000000,14.2,15.348,13.71,15.348,20945,0
GIFA,D,20201210,000000,15.3,15.3,14.51,14.998,5235,0
GIFA,D,20201211,000000,14.58,14.786,14.33,14.45,3253,0
GIFA,D,20201214,000000,14.332,14.498,13.512,13.95,5557,0
GIFA,D,20201215,000000,14.3,14.3,13.52,13.602,13590,0
GIFA,D,20201216,000000,14.28,14.28,14.002,14.246,3320,0
GIFA,D,20201217,000000,14.44,14.44,13.532,13.82,21732,0
GIFA,D,20201218,000000,13.8,13.8,13.212,13.3,16867,0
GIFA,D,20201221,000000,13.21,13.298,13.07,13.08,4484,0
GIFA,D,20201222,000000,13.022,13.298,12.9,12.95,32917,0
GIFA,D,20201223,000000,13.48,13.48,12.638,12.9,22788,0
GIFA,D,20201228,000000,12.85,12.85,11.88,12.25,69564,0
GIFA,D,20201229,000000,12.1,13.02,11.828,12.9,32788,0
GIFA,D,20201230,000000,13.4,13.764,12.9,13.45,14070,0
GIFA,D,20210104,000000,13.44,16.3,13.438,16.2,22334,0
GIFA,D,20210105,000000,16.404,21.495,16.404,18.3,67981,0
GIFA,D,20210107,000000,18.202,19.798,18.202,18.9,14827,0
GIFA,D,20210108,000000,18.902,18.92,17.02,17.936,9334,0
GIFA,D,20210111,000000,18,18.2,17.51,18,8220,0
GIFA,D,20210112,000000,18.2,18.5,18,18.5,2570,0
GIFA,D,20210113,000000,18.11,18.3,18.002,18.002,2044,0
GIFA,D,20210114,000000,18.002,18.2,16.22,17.9,10748,0
GIFA,D,20210115,000000,17.9,18.244,17.514,17.612,1130,0
