<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,D,19950515,000000,7.2228,7.2228,7.2228,7.2228,76839,0
NVT,D,19950516,000000,6.8501,6.8501,6.8501,6.8501,76933,0
NVT,D,19950517,000000,6.7101,6.7101,6.7101,6.7101,84800,0
NVT,D,19950518,000000,6.4772,6.4772,6.4772,6.4772,71327,0
NVT,D,19950519,000000,6.4772,6.4772,6.4772,6.4772,74955,0
NVT,D,19950522,000000,6.1044,6.1044,6.1044,6.1044,85677,0
NVT,D,19950523,000000,5.9181,5.9181,5.9181,5.9181,56859,0
NVT,D,19950524,000000,6.4307,6.4307,6.4307,6.4307,52019,0
NVT,D,19950525,000000,6.3841,6.3841,6.3841,6.3841,64537,0
NVT,D,19950526,000000,5.9647,5.9647,5.9647,5.9647,77874,0
NVT,D,19950529,000000,6.2909,6.2909,6.2909,6.2909,89338,0
NVT,D,19950530,000000,5.9647,5.9647,5.9647,5.9647,58091,0
NVT,D,19950531,000000,5.7784,5.7784,5.7784,5.7784,28122,0
NVT,D,19950601,000000,5.6385,5.6385,5.6385,5.6385,49657,0
NVT,D,19950602,000000,5.7316,5.7316,5.7316,5.7316,44837,0
NVT,D,19950605,000000,6.0579,6.0579,6.0579,6.0579,35574,0
NVT,D,19950606,000000,6.2442,6.2442,6.2442,6.2442,43238,0
NVT,D,19950607,000000,6.4307,6.4307,6.4307,6.4307,51164,0
NVT,D,19950608,000000,6.4307,6.4307,6.4307,6.4307,65624,0
NVT,D,19950609,000000,6.4307,6.4307,6.4307,6.4307,43307,0
NVT,D,19950612,000000,6.5238,6.5238,6.5238,6.5238,60314,0
NVT,D,19950613,000000,6.4772,6.4772,6.4772,6.4772,29411,0
NVT,D,19950614,000000,6.3374,6.3374,6.3374,6.3374,31954,0
NVT,D,19950616,000000,6.0111,6.0111,6.0111,6.0111,39008,0
NVT,D,19950619,000000,5.9647,5.9647,5.9647,5.9647,80390,0
NVT,D,19950620,000000,6.0579,6.0579,6.0579,6.0579,33762,0
NVT,D,19950621,000000,6.2442,6.2442,6.2442,6.2442,35632,0
NVT,D,19950622,000000,6.0579,6.0579,6.0579,6.0579,28970,0
NVT,D,19950623,000000,6.1511,6.1511,6.1511,6.1511,52106,0
NVT,D,19950626,000000,6.2909,6.2909,6.2909,6.2909,71690,0
NVT,D,19950627,000000,6.3841,6.3841,6.3841,6.3841,36732,0
NVT,D,19950628,000000,6.1511,6.1511,6.1511,6.1511,13086,0
NVT,D,19950629,000000,6.2442,6.2442,6.2442,6.2442,43238,0
NVT,D,19950630,000000,6.5238,6.5238,6.5238,6.5238,124391,0
NVT,D,19950703,000000,6.8965,6.8965,6.8965,6.8965,75474,0
NVT,D,19950704,000000,6.7101,6.7101,6.7101,6.7101,62515,0
NVT,D,19950705,000000,6.3841,6.3841,6.3841,6.3841,44956,0
NVT,D,19950706,000000,6.4772,6.4772,6.4772,6.4772,38521,0
NVT,D,19950707,000000,6.2909,6.2909,6.2909,6.2909,22015,0
NVT,D,19950710,000000,6.3374,6.3374,6.3374,6.3374,28559,0
NVT,D,19950711,000000,6.1511,6.1511,6.1511,6.1511,19591,0
NVT,D,19950712,000000,6.0111,6.0111,6.0111,6.0111,46331,0
NVT,D,19950713,000000,6.0579,6.0579,6.0579,6.0579,43824,0
NVT,D,19950714,000000,5.9647,5.9647,5.9647,5.9647,35041,0
NVT,D,19950717,000000,6.2909,6.2909,6.2909,6.2909,29568,0
NVT,D,19950718,000000,6.2442,6.2442,6.2442,6.2442,25463,0
NVT,D,19950719,000000,6.0111,6.0111,6.0111,6.0111,25450,0
NVT,D,19950720,000000,5.9181,5.9181,5.9181,5.9181,30585,0
NVT,D,19950721,000000,5.7316,5.7316,5.7316,5.7316,42656,0
NVT,D,19950724,000000,5.685,5.685,5.685,5.685,22689,0
NVT,D,19950725,000000,5.7316,5.7316,5.7316,5.7316,33585,0
NVT,D,19950726,000000,5.7316,5.7316,5.7316,5.7316,14481,0
NVT,D,19950727,000000,5.9181,5.9181,5.9181,5.9181,38864,0
NVT,D,19950728,000000,5.8249,5.8249,5.8249,5.8249,14936,0
NVT,D,19950731,000000,5.5453,5.5453,5.5453,5.5453,17402,0
NVT,D,19950801,000000,5.4987,5.4987,5.4987,5.4987,14731,0
NVT,D,19950802,000000,5.452,5.452,5.452,5.452,11463,0
NVT,D,19950803,000000,5.452,5.452,5.452,5.452,25678,0
NVT,D,19950804,000000,5.452,5.452,5.452,5.452,20817,0
NVT,D,19950807,000000,5.5453,5.5453,5.5453,5.5453,36610,0
NVT,D,19950808,000000,5.3588,5.3588,5.3588,5.3588,11571,0
NVT,D,19950809,000000,5.219,5.219,5.219,5.219,11210,0
NVT,D,19950810,000000,5.4987,5.4987,5.4987,5.4987,11912,0
NVT,D,19950811,000000,5.6385,5.6385,5.6385,5.6385,39550,0
NVT,D,19950816,000000,5.7316,5.7316,5.7316,5.7316,28176,0
NVT,D,19950817,000000,5.685,5.685,5.685,5.685,9849,0
NVT,D,19950818,000000,5.5919,5.5919,5.5919,5.5919,12696,0
NVT,D,19950821,000000,5.3588,5.3588,5.3588,5.3588,11666,0
NVT,D,19950822,000000,5.219,5.219,5.219,5.219,13509,0
NVT,D,19950823,000000,5.3123,5.3123,5.3123,5.3123,13834,0
NVT,D,19950824,000000,5.2657,5.2657,5.2657,5.2657,5791,0
NVT,D,19950825,000000,5.2657,5.2657,5.2657,5.2657,3228,0
NVT,D,19950828,000000,5.3123,5.3123,5.3123,5.3123,2916,0
NVT,D,19950829,000000,5.3123,5.3123,5.3123,5.3123,6682,0
NVT,D,19950830,000000,5.1724,5.1724,5.1724,5.1724,9958,0
NVT,D,19950831,000000,5.1258,5.1258,5.1258,5.1258,12290,0
NVT,D,19950901,000000,4.9395,4.9395,4.9395,4.9395,11641,0
NVT,D,19950904,000000,5.4055,5.4055,5.4055,5.4055,42641,0
NVT,D,19950905,000000,5.452,5.452,5.452,5.452,20086,0
NVT,D,19950906,000000,5.452,5.452,5.452,5.452,32096,0
NVT,D,19950907,000000,5.4055,5.4055,5.4055,5.4055,18128,0
NVT,D,19950908,000000,5.4055,5.4055,5.4055,5.4055,15631,0
NVT,D,19950911,000000,5.685,5.685,5.685,5.685,54971,0
NVT,D,19950912,000000,5.8714,5.8714,5.8714,5.8714,49987,0
NVT,D,19950913,000000,5.7784,5.7784,5.7784,5.7784,50967,0
NVT,D,19950914,000000,5.9647,5.9647,5.9647,5.9647,60607,0
NVT,D,19950915,000000,5.8714,5.8714,5.8714,5.8714,41812,0
NVT,D,19950918,000000,5.6385,5.6385,5.6385,5.6385,20397,0
NVT,D,19950919,000000,5.8249,5.8249,5.8249,5.8249,99145,0
NVT,D,19950920,000000,5.9181,5.9181,5.9181,5.9181,66916,0
NVT,D,19950921,000000,5.9181,5.9181,5.9181,5.9181,58129,0
NVT,D,19950922,000000,5.8714,5.8714,5.8714,5.8714,37386,0
NVT,D,19950925,000000,5.8714,5.8714,5.8714,5.8714,34659,0
NVT,D,19950926,000000,6.0579,6.0579,6.0579,6.0579,54804,0
NVT,D,19950927,000000,6.3374,6.3374,6.3374,6.3374,163316,0
NVT,D,19950928,000000,6.2909,6.2909,6.2909,6.2909,104915,0
NVT,D,19950929,000000,6.1976,6.1976,6.1976,6.1976,95844,0
NVT,D,19951002,000000,6.3841,6.3841,6.3841,6.3841,181467,0
NVT,D,19951003,000000,6.5238,6.5238,6.5238,6.5238,136883,0
NVT,D,19951004,000000,6.2909,6.2909,6.2909,6.2909,146401,0
NVT,D,19951005,000000,6.2909,6.2909,6.2909,6.2909,72488,0
NVT,D,19951006,000000,6.4307,6.4307,6.4307,6.4307,131403,0
NVT,D,19951009,000000,5.8249,5.8249,5.8249,5.8249,58112,0
NVT,D,19951010,000000,5.685,5.685,5.685,5.685,75107,0
NVT,D,19951011,000000,5.685,5.685,5.685,5.685,51450,0
NVT,D,19951012,000000,5.8249,5.8249,5.8249,5.8249,27039,0
