<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20160225,000000,1.0335,1.1586,1.0335,1.1398,2002138,0
ASB,D,20160226,000000,1.1398,1.1398,0.9395,0.9395,6047146,0
ASB,D,20160229,000000,0.952,1.0022,0.9206,0.9896,2157549,0
ASB,D,20160301,000000,0.9896,1.0147,0.952,0.9896,585656,0
ASB,D,20160302,000000,0.9958,0.9958,0.9331,0.952,596713,0
ASB,D,20160303,000000,0.9457,0.9707,0.9331,0.9395,507576,0
ASB,D,20160304,000000,0.9395,0.952,0.9081,0.952,825433,0
ASB,D,20160307,000000,0.9707,1.0083,0.9457,0.9958,628990,0
ASB,D,20160308,000000,0.9958,1.0083,0.9707,0.9707,655181,0
ASB,D,20160309,000000,0.9833,0.9833,0.9645,0.9707,209329,0
ASB,D,20160310,000000,0.9707,0.9896,0.9707,0.9707,315545,0
ASB,D,20160311,000000,0.9707,0.9958,0.9707,0.9958,303180,0
ASB,D,20160314,000000,0.9896,1.0523,0.9896,1.046,1133874,0
ASB,D,20160315,000000,1.046,1.0523,1.0022,1.0022,555281,0
ASB,D,20160316,000000,1.0083,1.0083,0.952,0.9645,647191,0
ASB,D,20160317,000000,0.977,0.9833,0.9395,0.952,432984,0
ASB,D,20160318,000000,0.9457,0.9707,0.9395,0.9707,252202,0
ASB,D,20160321,000000,0.9645,1.0585,0.9645,1.0022,2145878,0
ASB,D,20160322,000000,1.0083,1.0959,1.0022,1.0835,2891437,0
ASB,D,20160323,000000,1.1022,1.1461,1.0648,1.1022,3051210,0
ASB,D,20160324,000000,1.0959,1.2213,1.0835,1.2025,3826292,0
ASB,D,20160329,000000,1.1962,1.2713,1.1899,1.2464,2177626,0
ASB,D,20160330,000000,1.2652,1.2713,1.165,1.1899,2053835,0
ASB,D,20160331,000000,1.1899,1.2401,1.1711,1.2276,945561,0
ASB,D,20160401,000000,1.2087,1.2276,1.1899,1.2025,371767,0
ASB,D,20160404,000000,1.2087,1.2652,1.1962,1.2151,1213583,0
ASB,D,20160405,000000,1.2213,1.2464,1.2025,1.2464,524940,0
ASB,D,20160406,000000,1.2401,1.2713,1.2213,1.2526,583460,0
ASB,D,20160407,000000,1.2652,1.3653,1.2526,1.3402,2028951,0
ASB,D,20160408,000000,1.3466,1.3653,1.309,1.3278,765813,0
ASB,D,20160411,000000,1.3278,1.3778,1.2901,1.3527,1172519,0
ASB,D,20160412,000000,1.3466,1.3653,1.309,1.334,459465,0
ASB,D,20160413,000000,1.334,1.359,1.3028,1.309,865825,0
ASB,D,20160414,000000,1.309,1.3527,1.2526,1.3527,1141963,0
ASB,D,20160415,000000,1.3466,1.4342,1.3278,1.3841,1145079,0
ASB,D,20160418,000000,1.3715,1.497,1.3653,1.497,2936082,0
ASB,D,20160419,000000,1.4782,1.5345,1.4782,1.5032,1757380,0
ASB,D,20160420,000000,1.5095,1.5095,1.4404,1.453,1207846,0
ASB,D,20160421,000000,1.453,1.4845,1.3278,1.359,1967708,0
ASB,D,20160422,000000,1.3653,1.4092,1.2901,1.4092,2031184,0
ASB,D,20160425,000000,1.4029,1.4906,1.3653,1.4782,1050832,0
ASB,D,20160426,000000,1.4782,1.5032,1.453,1.4782,699024,0
ASB,D,20160427,000000,1.4656,1.497,1.3841,1.3841,519393,0
ASB,D,20160428,000000,1.3841,1.4906,1.3841,1.4656,956979,0
ASB,D,20160429,000000,1.4594,1.4906,1.4279,1.4719,279473,0
ASB,D,20160502,000000,1.4782,1.4782,1.453,1.453,71834,0
ASB,D,20160504,000000,1.4404,1.4656,1.4342,1.4404,238925,0
ASB,D,20160505,000000,1.4404,1.4906,1.4342,1.4656,363127,0
ASB,D,20160506,000000,1.4719,1.5782,1.4468,1.5282,1455831,0
ASB,D,20160509,000000,1.522,1.5845,1.5032,1.5845,882481,0
ASB,D,20160510,000000,1.5907,1.6346,1.5157,1.5282,1116532,0
ASB,D,20160511,000000,1.522,1.5282,1.3778,1.3903,2428721,0
ASB,D,20160512,000000,1.3778,1.5782,1.3028,1.4782,2684930,0
ASB,D,20160513,000000,1.497,1.5532,1.4594,1.5345,662873,0
ASB,D,20160516,000000,1.5532,1.5657,1.5095,1.5095,704679,0
ASB,D,20160517,000000,1.5095,1.522,1.4656,1.5157,561701,0
ASB,D,20160518,000000,1.5095,1.5157,1.4845,1.497,121512,0
ASB,D,20160519,000000,1.4845,1.5532,1.4217,1.5345,1255012,0
ASB,D,20160520,000000,1.5157,1.5282,1.497,1.497,177876,0
ASB,D,20160523,000000,1.4906,1.5095,1.4404,1.4404,375583,0
ASB,D,20160524,000000,1.4404,1.4656,1.4217,1.4342,158663,0
ASB,D,20160525,000000,1.4404,1.4594,1.3967,1.3967,481744,0
ASB,D,20160527,000000,1.3903,1.4845,1.3653,1.4719,410300,0
ASB,D,20160530,000000,1.4719,1.497,1.4594,1.497,182334,0
ASB,D,20160531,000000,1.497,1.5032,1.4719,1.4719,117805,0
ASB,D,20160601,000000,1.4719,1.4719,1.3278,1.3778,673871,0
ASB,D,20160602,000000,1.3778,1.4279,1.3466,1.4217,216595,0
ASB,D,20160603,000000,1.4092,1.4719,1.4092,1.4092,220325,0
ASB,D,20160606,000000,1.4029,1.4279,1.3778,1.4029,265207,0
ASB,D,20160607,000000,1.3778,1.4029,1.3215,1.3778,543938,0
ASB,D,20160608,000000,1.3778,1.4092,1.3653,1.3967,184555,0
ASB,D,20160609,000000,1.4092,1.4092,1.359,1.359,65492,0
ASB,D,20160610,000000,1.3527,1.359,1.309,1.3278,204271,0
ASB,D,20160613,000000,1.3153,1.3153,1.2151,1.2276,517843,0
ASB,D,20160614,000000,1.2151,1.2151,1.1461,1.1899,1564912,0
ASB,D,20160615,000000,1.2025,1.2338,1.165,1.1962,188319,0
ASB,D,20160616,000000,1.1774,1.1774,1.071,1.0897,984637,0
ASB,D,20160617,000000,1.0959,1.1461,1.0959,1.1147,400255,0
ASB,D,20160620,000000,1.1083,1.2213,1.1083,1.2213,647066,0
ASB,D,20160621,000000,1.2338,1.3527,1.2338,1.3402,1275138,0
ASB,D,20160622,000000,1.3402,1.3402,1.2965,1.3278,247853,0
ASB,D,20160623,000000,1.334,1.4029,1.3028,1.3715,574837,0
ASB,D,20160624,000000,1.1899,1.334,1.165,1.2713,2047659,0
ASB,D,20160627,000000,1.2776,1.3215,1.2338,1.2338,618102,0
ASB,D,20160628,000000,1.2713,1.2839,1.2526,1.2713,271516,0
ASB,D,20160629,000000,1.2776,1.3278,1.2588,1.2713,726144,0
ASB,D,20160630,000000,1.2776,1.2839,1.2652,1.2652,93406,0
ASB,D,20160701,000000,1.2526,1.2776,1.2464,1.2526,178392,0
ASB,D,20160704,000000,1.2526,1.2713,1.2151,1.2464,176404,0
ASB,D,20160705,000000,1.2401,1.2526,1.2025,1.2213,317877,0
ASB,D,20160706,000000,1.2151,1.2526,1.1899,1.1962,319687,0
ASB,D,20160707,000000,1.1962,1.2776,1.1962,1.2401,364302,0
ASB,D,20160708,000000,1.2526,1.2839,1.2464,1.2652,102005,0
ASB,D,20160711,000000,1.2713,1.3402,1.2713,1.3402,501649,0
ASB,D,20160712,000000,1.3466,1.4092,1.3466,1.3841,525768,0
