<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,20010508,000000,0.5351,0.5351,0.516,0.516,105750,0
APT,D,20010509,000000,0.5032,0.5478,0.5032,0.5478,47571,0
APT,D,20010510,000000,0.516,0.5543,0.516,0.5543,42062,0
APT,D,20010511,000000,0.5543,0.5736,0.5351,0.5543,102348,0
APT,D,20010514,000000,0.5736,0.5736,0.5415,0.5415,64968,0
APT,D,20010515,000000,0.5543,0.5543,0.516,0.516,31209,0
APT,D,20010516,000000,0.47154,0.49059,0.47154,0.47154,356273,0
APT,D,20010517,000000,0.49059,0.49059,0.49059,0.49059,2435,0
APT,D,20010518,000000,0.49059,0.49059,0.47154,0.47154,37724,0
APT,D,20010521,000000,0.47154,0.47154,0.44594,0.45864,35256,0
APT,D,20010522,000000,0.47154,0.47154,0.45864,0.47154,82397,0
APT,D,20010523,000000,0.47154,0.47154,0.46516,0.46516,14586,0
APT,D,20010524,000000,0.46516,0.46516,0.45864,0.45864,11201,0
APT,D,20010525,000000,0.46516,0.46516,0.44594,0.45234,21536,0
APT,D,20010528,000000,0.45234,0.45234,0.44594,0.44594,299377,0
APT,D,20010529,000000,0.44594,0.44594,0.4331,0.44594,131789,0
APT,D,20010530,000000,0.44594,0.44594,0.4331,0.44594,52094,0
APT,D,20010531,000000,0.4331,0.43974,0.4331,0.43974,108309,0
APT,D,20010601,000000,0.43974,0.44594,0.4331,0.44594,102093,0
APT,D,20010604,000000,0.45234,0.45864,0.45234,0.45234,81949,0
APT,D,20010605,000000,0.45234,0.45864,0.44594,0.45864,8677,0
APT,D,20010606,000000,0.47154,0.47154,0.45864,0.46516,20831,0
APT,D,20010607,000000,0.47154,0.47154,0.4331,0.43974,21970,0
APT,D,20010608,000000,0.4331,0.43974,0.4331,0.43974,10839,0
APT,D,20010611,000000,0.45234,0.45234,0.45234,0.45234,124,0
APT,D,20010612,000000,0.44594,0.44594,0.44594,0.44594,4395,0
APT,D,20010613,000000,0.4331,0.44594,0.4331,0.44594,19017,0
APT,D,20010615,000000,0.4331,0.43974,0.42054,0.42054,35239,0
APT,D,20010618,000000,0.42054,0.42054,0.42054,0.42054,30088,0
APT,D,20010619,000000,0.42698,0.42698,0.41412,0.42054,19446,0
APT,D,20010620,000000,0.41412,0.42054,0.41412,0.42054,17252,0
APT,D,20010621,000000,0.41412,0.4331,0.41412,0.4331,61436,0
APT,D,20010622,000000,0.41412,0.43974,0.41412,0.43974,2449,0
APT,D,20010625,000000,0.41412,0.43974,0.41412,0.43974,7958,0
APT,D,20010626,000000,0.43974,0.45864,0.43974,0.45234,27947,0
APT,D,20010627,000000,0.45864,0.45864,0.45234,0.45234,9635,0
APT,D,20010628,000000,0.44594,0.44594,0.44594,0.44594,19736,0
APT,D,20010629,000000,0.43974,0.43974,0.42054,0.43974,123002,0
APT,D,20010702,000000,0.4331,0.4331,0.4331,0.4331,41574,0
APT,D,20010703,000000,0.4331,0.4331,0.4331,0.4331,90700,0
APT,D,20010704,000000,0.4331,0.4331,0.42054,0.42054,51068,0
APT,D,20010705,000000,0.4331,0.4331,0.42698,0.4331,128208,0
APT,D,20010706,000000,0.4331,0.4331,0.4331,0.4331,46441,0
APT,D,20010709,000000,0.42698,0.42698,0.42698,0.42698,37943,0
APT,D,20010710,000000,0.42698,0.4331,0.42054,0.4331,145873,0
APT,D,20010711,000000,0.42054,0.4331,0.42054,0.4331,66264,0
APT,D,20010712,000000,0.4331,0.4331,0.42698,0.4331,88807,0
APT,D,20010713,000000,0.42698,0.42698,0.42698,0.42698,51068,0
APT,D,20010716,000000,0.42054,0.42698,0.42054,0.42054,48614,0
APT,D,20010717,000000,0.42054,0.42054,0.42054,0.42054,48614,0
APT,D,20010718,000000,0.42054,0.42698,0.42054,0.42698,38085,0
APT,D,20010719,000000,0.42054,0.42698,0.42054,0.42698,60786,0
APT,D,20010720,000000,0.42054,0.42698,0.42054,0.42698,60786,0
APT,D,20010723,000000,0.42054,0.42054,0.42054,0.42054,64409,0
APT,D,20010724,000000,0.42054,0.42054,0.42054,0.42054,57006,0
APT,D,20010725,000000,0.42054,0.42054,0.42054,0.42054,66497,0
APT,D,20010726,000000,0.42054,0.42054,0.42054,0.42054,61110,0
APT,D,20010727,000000,0.42054,0.42054,0.42054,0.42054,66767,0
APT,D,20010730,000000,0.42054,0.42054,0.41412,0.41412,59297,0
APT,D,20010731,000000,0.42054,0.42054,0.41412,0.41412,64912,0
APT,D,20010801,000000,0.41412,0.41412,0.41412,0.41412,5743,0
APT,D,20010802,000000,0.42054,0.42054,0.42054,0.42054,44746,0
APT,D,20010803,000000,0.42054,0.42054,0.41412,0.41412,34340,0
APT,D,20010806,000000,0.42054,0.42054,0.42054,0.42054,24325,0
APT,D,20010807,000000,0.42054,0.42054,0.42054,0.42054,74690,0
APT,D,20010808,000000,0.42054,0.42054,0.42054,0.42054,34824,0
APT,D,20010809,000000,0.42054,0.42054,0.42054,0.42054,53375,0
APT,D,20010810,000000,0.42054,0.42054,0.42054,0.42054,38984,0
APT,D,20010813,000000,0.42054,0.42054,0.42054,0.42054,52941,0
APT,D,20010814,000000,0.42054,0.42054,0.42054,0.42054,133792,0
APT,D,20010816,000000,0.42054,0.42054,0.42054,0.42054,77552,0
APT,D,20010817,000000,0.42054,0.42054,0.42054,0.42054,36464,0
APT,D,20010820,000000,0.42054,0.42054,0.42054,0.42054,10930,0
APT,D,20010821,000000,0.42698,0.42698,0.42698,0.42698,36464,0
APT,D,20010822,000000,0.42054,0.42698,0.42054,0.42698,51296,0
APT,D,20010823,000000,0.42054,0.42698,0.42054,0.42054,82433,0
APT,D,20010824,000000,0.42054,0.42054,0.42054,0.42054,76276,0
APT,D,20010828,000000,0.42054,0.42698,0.42054,0.42698,15018,0
APT,D,20010829,000000,0.42698,0.42698,0.42054,0.42054,60177,0
APT,D,20010830,000000,0.42698,0.42698,0.42698,0.42698,21465,0
APT,D,20010831,000000,0.42054,0.42698,0.42054,0.42698,32805,0
APT,D,20010903,000000,0.4331,0.45864,0.42698,0.4331,53891,0
APT,D,20010904,000000,0.4331,0.44594,0.4331,0.4331,21465,0
APT,D,20010905,000000,0.44594,0.46516,0.44594,0.45864,14027,0
APT,D,20010906,000000,0.45864,0.47154,0.45864,0.47154,17574,0
APT,D,20010907,000000,0.45864,0.4841,0.45864,0.46516,327482,0
APT,D,20010910,000000,0.45864,0.45864,0.45864,0.45864,14242,0
APT,D,20010911,000000,0.45864,0.45864,0.45864,0.45864,7291,0
APT,D,20010912,000000,0.42054,0.43974,0.42054,0.42698,34773,0
APT,D,20010913,000000,0.4331,0.45234,0.42698,0.45234,41183,0
APT,D,20010914,000000,0.44594,0.45234,0.44594,0.44594,48922,0
APT,D,20010917,000000,0.4331,0.44594,0.4331,0.44594,61367,0
APT,D,20010918,000000,0.43974,0.45234,0.4331,0.45234,18600,0
APT,D,20010919,000000,0.44594,0.45234,0.44594,0.45234,2088,0
APT,D,20010921,000000,0.44594,0.45234,0.4331,0.4331,103968,0
APT,D,20010924,000000,0.4331,0.4331,0.4331,0.4331,53049,0
APT,D,20010925,000000,0.4331,0.4331,0.4331,0.4331,80077,0
APT,D,20010926,000000,0.4331,0.4331,0.4331,0.4331,14368,0
APT,D,20010927,000000,0.42698,0.43974,0.42698,0.43974,22976,0
APT,D,20011001,000000,0.4331,0.4331,0.4331,0.4331,289,0
APT,D,20011002,000000,0.4331,0.4331,0.4331,0.4331,35812,0
APT,D,20011003,000000,0.4331,0.4331,0.4331,0.4331,32498,0
APT,D,20011004,000000,0.4331,0.4331,0.4331,0.4331,984070,0
APT,D,20011005,000000,0.4331,0.4331,0.4331,0.4331,9722,0
APT,D,20011008,000000,0.4331,0.4331,0.4331,0.4331,68337,0
APT,D,20011009,000000,0.4331,0.44594,0.4331,0.44594,259257,0
APT,D,20011010,000000,0.4331,0.44594,0.4331,0.44594,36552,0
APT,D,20011011,000000,0.4331,0.4331,0.4331,0.4331,8193,0
APT,D,20011012,000000,0.4331,0.4331,0.4331,0.4331,8840,0
APT,D,20011015,000000,0.4331,0.47154,0.4331,0.47154,214333,0
APT,D,20011016,000000,0.45234,0.47154,0.45234,0.47154,45539,0
APT,D,20011017,000000,0.47154,0.47154,0.45234,0.45234,52094,0
APT,D,20011018,000000,0.45234,0.45234,0.45234,0.45234,2435,0
APT,D,20011019,000000,0.45234,0.47154,0.4331,0.47154,565350,0
APT,D,20011022,000000,0.4331,0.45864,0.4331,0.45864,5091,0
APT,D,20011023,000000,0.45234,0.45864,0.45234,0.45864,2435,0
APT,D,20011024,000000,0.45234,0.45234,0.45234,0.45234,3169,0
APT,D,20011025,000000,0.45864,0.45864,0.45864,0.45864,48614,0
APT,D,20011026,000000,0.45864,0.46516,0.45234,0.46516,29226,0
APT,D,20011029,000000,0.43974,0.44594,0.43974,0.44594,21051,0
APT,D,20011030,000000,0.45234,0.45234,0.42054,0.4331,66950,0
APT,D,20011031,000000,0.45234,0.45234,0.43974,0.43974,36731,0
APT,D,20011102,000000,0.45864,0.45864,0.45864,0.45864,5091,0
